"DocumentID (has format doc-x-xx). 

Write ""doc-x-xx"" with the x's having the appropriate numbers for the document you are reviewing. Include the ""doc-"" prefix. Use lowercase letters.",Parties Involved. Look at the top of the form for the parties involved in the case.,Kind of personal data involved in the case (select all that apply). This is the data that is the subject of the dispute.,Legal Issue,Document Type,Date of Document or Case,Type of court.,"Something interesting? Potential Problematic Strategic Use of HIPAA. This applies to cases where HIPAA is being used to undermine lawsuits that seeks to assert individual rights (e.g. lawsuits about environmental harms, workplace injuries or drug harms or just feels ""creepy"") [OPTIONAL]",,,,,,
doc-2-79,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Educational or Professional Licensing Data, Legal or Criminal Information, Family and Relationship History",,Expert Witness Reports,2010,State court,,,,,,,
doc-2-80,Individual vs Business Entity,"Personal Health Information (including biometrics, such as DNA), Biomechanics and Ergonomic Data, Recreational and Sports Activity",,Expert Witness Reports,2013,Federal court,,,,,,,
doc-2-48,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2009,Can't tell,,,,,,,
doc-2-81,Corporate Litigation,Geo-location or GPS Data,,Expert Witness Reports,2020,Federal court,,,,,,,
doc-5-19,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2013,Federal court,,,,,,,
doc-2-92,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Depositions,2018,Federal court,"There is no indication in this deposition that HIPAA is being used in a problematic or “strategic” way to undermine an individual’s claims. So, no clear evidence of problematic HIPAA use.",,,,,,
doc-2-82,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Depositions,2024,Federal court,,,,,,,
doc-2-83,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Depositions,2010,State court,,,,,,,
doc-2-93,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2007,State court,"No indication that HIPAA is being used in a “problematic” or “strategic” way to undermine individual rights. So, no clear evidence of problematic HIPAA use.",,,,,,
doc-2-84,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information",,"Depositions, Expert Witness Reports",2018,Federal court,,,,,,,
doc-2-85,Individual vs Business Entity,"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information",,Expert Resume,2017,Federal court,,,,,,,
doc-2-94,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2022,Federal court,"Nothing in the expert report suggests that HIPAA is being used in a problematic or “strategic” manner to undermine any individual rights. So, no clear evidence of problematic HIPAA use.",,,,,,
doc-2-49,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,"Depositions, Expert Witness Reports",2013,Federal court,,,,,,,
doc-2-86,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Depositions,2011,State court,,,,,,,
doc-2-87,Business Associate of Covered Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Depositions,2013,Federal court,,,,,,,
doc-2-95,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Depositions,2009,State court,"No indication that HIPAA is being used in a problematic or “strategic” way to undermine individual rights. So, no clear evidence of problematic HIPAA use.",,,,,,
doc-2-49,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information",,Depositions,2013,Federal court,,,,,,,
doc-2-88,Neither Party is a Covered Entity,"Technical Data, Encryption Information",,"Court Rulings/Decisions, Legal Briefs, Depositions, Expert Witness Reports",2022,Federal court,,,,,,,
doc-2-96,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2018,Federal court,"No indication of HIPAA being used to undermine individual rights. So, no such problematic use.",,,,,,
doc-2-50,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,"Depositions, Expert Witness Reports",2014,Federal court,,,,,,,
doc-2-89,Individual vs Business Entity,Legal or Criminal Information,,"Depositions, Expert Witness Reports, Legal Notices",2015,State court,,,,,,,
doc-2-90,Business vs Business,Medical information not covered by HIPAA (e.g. aggregate prescription data),,"Legal Briefs, Depositions, Expert Witness Reports",2006,Federal court,,,,,,,
doc-2-90,An automobile insurance company vs. a healthcare provider; not among the listed categories,"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2006,Federal court,"No indication of HIPAA being used in a problematic or “creepy” manner. So, no.",,,,,,
doc-2-91,Business vs Business,"Personal Health Information (including biometrics, such as DNA), Financial Data, Medical information not covered by HIPAA (e.g. aggregate prescription data)",,"Depositions, Expert Witness Reports",2011,Federal court,,,,,,,
doc-2-51,"The case involves Straight Path IP Group, Inc. vs. Vizio, Inc., et al., which is an intellectual property case concerning computer and network security technology.","Internet or Network Activity, Legal or Criminal Information",,Vitae,2017,Federal court,,,,,,,
doc-2-92,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Financial Data",,"Legal Briefs, Depositions, Expert Witness Reports",2018,Federal court,,,,,,,
doc-2-93,Individual vs Business,Financial Data,,"Legal Briefs, Expert Witness Reports",2007,State court,,,,,,,
doc-2-91,Insurance Company vs. Healthcare Provider,"Personal Health Information (including biometrics, such as DNA), Financial Data",,Expert Witness Reports,2006,Federal court,There is no evidence here that HIPAA is being strategically used to undermine a lawsuit; the focus is on alleged fraudulent billing and coding practices.,,,,,,
doc-5-39,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Affidavit,2014,State court,,,,,,,
doc-2-94,Individual vs Business,"Personal Health Information (including biometrics, such as DNA)",,"Legal Briefs, Expert Witness Reports",2022,Federal court,,,,,,,
doc-2-95,Individual vs Business,"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information",,Legal Briefs,2009,State court,,,,,,,
doc-2-52,Business Associate of Covered Entity (Covered Entity),Internet or Network Activity,,Expert Witness Reports,2017,Federal court,,,,,,,
doc-2-96,Individual vs Business Entity,"Personal Health Information (including biometrics, such as DNA), Demographics, Legal or Criminal Information, Medical information not covered by HIPAA (e.g. aggregate prescription data)",,"Legal Briefs, Depositions, Expert Witness Reports",2018,Federal court,,,,,,,
doc-2-53,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information",,Depositions,2007,Federal court,,,,,,,
doc-3-17,Neither Party is a Covered Entity,Financial Data,,"Expert Witness Reports, Vitae",2008,State court,,,,,,,
doc-2-54,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2009,Federal court,,,,,,,
doc-2-55,Government vs. Healthcare Entity (Covered Entity),Educational or Professional Licensing Data,,Vitae,2001,Federal court,,,,,,,
doc-2-56,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2013,Federal court,,,,,,,
doc-3-18,Business Associate of Covered Entity (Covered Entity),Financial Data,,Expert Witness Reports,2014,State court,,,,,,,
doc-3-19,Business Associate of Covered Entity (Covered Entity),"Not applicable (e.g. because you are dealing with a resume), Anonymity of data",,"Expert Witness Reports, Jury trial demanded",2017,State court,Talks mostly about patents.,,,,,,
doc-3-20,Neither Party is a Covered Entity,trade secret misappropriation allegations,,"Expert Witness Reports, Vitae",2016,State court,,,,,,,
doc-3-21,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Educational or Professional Licensing Data, breach of standard of care and professional standards of practice",,"Expert Witness Reports, Vitae",2016,State court,,,,,,,
doc-3-22,Neither Party is a Covered Entity,"Insurance, Labor & Employment",,Depositions,2008,State court,,,,,,,
doc-3-23,Neither Party is a Covered Entity,generic data,,Expert Witness Reports,2015,State court,,,,,,,
doc-3-24,"Individual vs. Perspecta Enterprise Solutions, LLC",Educational or Professional Licensing Data,,Vitae,2022,State court,,,,,,,
doc-3-25,Government vs. Healthcare Entity (Covered Entity),Financial Data,,Expert Witness Reports,2009,State court,,,,,,,
doc-3-26,Not known,Not applicable (e.g. because you are dealing with a resume),,Vitae,2008,State court,,,,,,,
doc-3-26,Government vs. Healthcare Entity (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Vitae,2008,State court,,,,,,,
doc-4-14,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2010,Federal court,,,,,,,
doc-4-15,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Depositions,2020,Federal court,,,,,,,
doc-5-1,not applicable,Not applicable (e.g. because you are dealing with a resume),,Vitae,2009,Can't tell,,,,,,,
doc-5-2,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2014,Federal court,,,,,,,
doc-5-3,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics, Financial Data",,Expert Witness Reports,2021,Federal court,,,,,,,
doc-5-4,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics",,Expert Witness Reports,2005,Federal court,,,,,,,
doc-5-5,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2019,Federal court,,,,,,,
doc-5-6,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics",,Expert Witness Reports,2009,Federal court,,,,,,,
doc-5-7,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics",,Expert Witness Reports,2004,Federal court,,,,,,,
doc-5-7,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics",,Expert Witness Reports,2004,Federal court,,,,,,,
doc-5-8,Business Associate of Covered Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Financial Data",,Vitae,2022,Federal court,,,,,,,
doc-2-100,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Operational",,Transcript of Stafford G. Warren- M.D.,2004,State court,Patient name mentioned,,,,,,
doc-5-9,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics",,Expert Witness Reports,2014,State court,,,,,,,
doc-5-10,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2006,Federal court,,,,,,,
doc-5-11,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics",,Expert Witness Reports,2015,Federal court,,,,,,,
doc-5-12,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Financial Data",,Expert Witness Reports,2006,Federal court,,,,,,,
doc-2-50,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Educational or Professional Licensing Data, Legal or Criminal Information",,Depositions,2014,Federal court,,,,,,,
doc-5-13,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2022,Federal court,,,,,,,
doc-2-51,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2017,Federal court,,,,,,,
doc-2-52,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2017,Federal court,,,,,,,
doc-2-97,Business Associate of Covered Entity (Covered Entity),Medical information not covered by HIPAA (e.g. aggregate prescription data),,Expert Witness Reports,2019,Federal court,,,,,,,
doc-5-13,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2022,Federal court,,,,,,,
doc-2-53,Individual vs. Government,"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information, Medical information relevant to addiction recovery may or may not have been covered by HIPAA",,Depositions,2007,Federal court,"City of Treasure Island, a government entity, was involved in a case with an individual... I hadn't seen that up until this point. Addiction recovery information as ambiguous under HIPAA is interesting as well.",,,,,,
doc-5-14,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2022,Federal court,,,,,,,
doc-5-14,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2022,Federal court,,,,,,,
doc-2-54,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Financial Data, Legal or Criminal Information",,Expert Witness Reports,2009,Federal court,,,,,,,
doc-5-16,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2013,Federal court,,,,,,,
doc-2-55,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Financial Data, Legal or Criminal Information",,Expert Witness Reports,2002,Federal court,,,,,,,
doc-2-56,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information",,Expert Witness Reports,2013,Federal court,,,,,,,
doc-5-18,Business Associate of Covered Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Financial Data",,Expert Witness Reports,2020,Federal court,,,,,,,
doc-2-98,Business Associate of Covered Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2008,Federal court,,,,,,,
doc-2-99,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2021,Federal court,,,,,,,
doc-2-100,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,"Expert Witness Reports, Expert Trial Testimony",2004,State court,,,,,,,
doc-3-1,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Depositions,2020,Federal court,,,,,,,
doc-3-28,Individual vs. Healthcare Provider (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Vitae,2007,State court,,,,,,,
doc-3-1,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Depositions,2014,Federal court,,,,,,,
doc-3-29,Individual vs. Healthcare Provider (Covered Entity),Medical Malpractice,,"Depositions, Expert Witness Reports",2018,State court,,,,,,,
doc-3-30,Individual vs. Healthcare Provider (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Vitae,2009,State court,,,,,,,
doc-3-31,Individual vs. Healthcare Provider (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Vitae,2010,State court,,,,,,,
doc-3-3,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,"Vitae, Expert Resume",2008,Can't tell,,,,,,,
doc-3-32,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Medical malpractice",,"Depositions, Expert Witness Reports",2020,State court,,,,,,,
doc-3-4,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Depositions,2018,Federal court,,,,,,,
doc-3-33,Individual vs. Healthcare Provider (Covered Entity),Medical information not covered by HIPAA (e.g. aggregate prescription data),,"Depositions, Expert Witness Reports",2018,State court,,,,,,,
doc-3-34,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2014,State court,,,,,,,
doc-3-5,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Hazard data/work-related data",,Depositions,2021,Federal court,,,,,,,
doc-3-35,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,"Depositions, Expert Witness Reports",2020,State court,,,,,,,
doc-3-36,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Depositions,2017,State court,,,,,,,
doc-3-6,Government v. Individual,"Financial Data, Internet or Network Activity",,Depositions,2014,Federal court,,,,,,,
doc-3-1,Individual vs. Healthcare Provider (Covered Entity),Medical information not covered by HIPAA (e.g. aggregate prescription data),,Expert Witness Reports,2020,Federal court,Involved in writing HIPAA policies,,,,,,
doc-3-7,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2004,State court,,,,,,,
doc-3-8,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Depositions,2006,Federal court,,,,,,,
doc-3-9,NOT KNOWN,"Personal Health Information (including biometrics, such as DNA)",,Testimony of Defendants' Expert Witness,2016,Federal court,,,,,,,
doc-3-10,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Depositions,2015,Federal court,,,,,,,
doc-3-11,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Depositions,2022,Federal court,,,,,,,
doc-3-12,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Depositions,2007,Federal court,,,,,,,
doc-3-2,Individual vs. food suppliers,Medical information not covered by HIPAA (e.g. aggregate prescription data),,Depositions,2014,Federal court,Mentioned HIPAA was respected,,,,,,
doc-3-3,Not clear,Not applicable (e.g. because you are dealing with a resume),,Resume,2008,Can't tell,,,,,,,
doc-3-4,Individual vs. Individual,Medical information not covered by HIPAA (e.g. aggregate prescription data),,"Expert Witness Reports, Partial Expert Testimony",2018,State court,Aware of it during the testimony,,,,,,
doc-3-5,Neither Party is a Covered Entity,"Real Estate Information, Medical information not covered by HIPAA (e.g. aggregate prescription data)",,"Expert Witness Reports, Deposition",2021,Federal court,,,,,,,
doc-3-6,Individual vs. the USA,"Internet or Network Activity, Social Media or Online Content",,Expert Report and Affidavit,2014,Federal court,The Expert has experience with HIPAA violations.,,,,,,
doc-3-7,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics, Legal or Criminal Information",,Expert Report and Affidavit,2004,State court,,,,,,,
doc-3-8,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Depositions,2006,Federal court,,,,,,,
doc-3-9,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Expert Trial Transcript,2016,Federal court,,,,,,,
doc-3-10,Not sure,"Personal Health Information (including biometrics, such as DNA)",,"Depositions, Expert",2015,State court,,,,,,,
doc-3-11,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,"Depositions, Expert",2022,Federal court,,,,,,,
doc-3-37,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Depositions,2020,Federal court,,,,,,,
doc-3-12,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,"Depositions, Expert",2007,State court,Looks like it's not clear to the expert what he could say or not say under HIPAA in one of his answers,,,,,,
doc-3-38,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Depositions,2010,Federal court,,,,,,,
doc-3-39,Neither Party is a Covered Entity,Financial Data,,Expert Witness Reports,2014,Federal court,,,,,,,
doc-3-13,Individual vs. Healthcare Provider (Covered Entity),"Demographics, Educational or Professional Licensing Data, Medical information not covered by HIPAA (e.g. aggregate prescription data)",,"Depositions, Expert",2016,Federal court,,,,,,,
doc-3-40,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Depositions,2014,Federal court,,,,,,,
doc-5-24,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Depositions,2013,State court,,,,,,,
doc-3-41,Neither Party is a Covered Entity,Financial Data,,Expert Witness Reports,2018,Federal court,,,,,,,
doc-5-25,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2014,Federal court,"The case is about a Dominos Pizza driver, suffering from syncope, who crashed his car, killing a family member of the plaintiff. The plaintiffs alleges that because HIPAA does not ""prohibit a motor carrier from making inquiries about"" their driver's medical conditions, Dominos is somewhat liable for the accident.",,,,,,
doc-5-26,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2014,Federal court,Same case (and comment) as doc-5-25,,,,,,
doc-5-27,Individual vs. Healthcare Provider (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Vitae,2008,Federal court,,,,,,,
doc-5-28,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2007,Federal court,"This case involved a hospital administrator denying the police from speaking with a victim of domestic violence for an investigation. She was arrested for obstruction of justice, but the DA never pressed charged. Now, she is suing the police officers for abuse of power.",,,,,,
doc-5-29,Neither Party is a Covered Entity,"Financial Data, Credit Information",,Expert Witness Reports,2017,Federal court,This case has nothing to do with health information and is about car-dealership sharing information with other entities. HIPAA is cited as an example of how privacy data is treated,,,,,,
doc-5-30,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2014,Federal court,,,,,,,
doc-5-31,Government vs. Healthcare Entity (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Vitae,2017,Federal court,,,,,,,
doc-5-32,Government vs. Healthcare Entity (Covered Entity),No data involved (personal injury case),,Expert Witness Reports,2017,Federal court,Personal Injury Case (no relation to HIPAA),,,,,,
doc-3-17,Government vs. Healthcare Entity (Covered Entity),"Financial Data, Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Expert Witness Reports,2008,Federal court,,,,,,,
doc-5-33,Individual vs. Healthcare Provider (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Vitae,2019,Federal court,,,,,,,
doc-3-13,Individual vs. Healthcare Provider (Covered Entity),"Medical information not covered by HIPAA (e.g. aggregate prescription data), Hospital employee data",,Depositions,2016,Federal court,,,,,,,
doc-3-14,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Depositions,2016,Federal court,,,,,,,
doc-5-34,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2018,State court,,,,,,,
doc-5-35,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2021,Federal court,,,,,,,
doc-5-36,Individual vs. CDC (the government is acting as a Healthcare entitiy in this case),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2009,Federal court,,,,,,,
doc-5-37,Individual vs. Healthcare Provider (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Vitae,2004,Federal court,,,,,,,
doc-5-38,Individual vs. Healthcare Provider (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Vitae,2014,State court,,,,,,,
doc-3-15,Individual vs. Healthcare Provider (Covered Entity),Medical information not covered by HIPAA (e.g. aggregate prescription data),,Depositions,2013,Federal court,,,,,,,
doc-9-10,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information",,Court Rulings/Decisions,2010,Federal court,,,,,,,
doc-9-11,Individual vs. Government ( Lindsey v. City of Pasadena ),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2018,Federal court,,,,,,,
doc-9-12,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information",,Court Rulings/Decisions,2020,Federal court,,,,,,,
doc-9-13,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Court Rulings/Decisions,2011,Federal court,,,,,,,
doc-3-42,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Educational or Professional Licensing Data",,Expert Witness Reports,2008,State court,,,,,,,
doc-3-43,Legal expert and the state in a class action,Not applicable (e.g. because you are dealing with a resume),,Expert Witness Reports,2022,Federal court,,,,,,,
doc-4-1,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Educational or Professional Licensing Data",,Expert Witness Reports,2006,Federal court,,,,,,,
doc-4-2,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Expert Witness Reports,2022,Federal court,,,,,,,
doc-9-15,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2019,Federal court,,,,,,,
doc-9-17,Individual vs. Healthcare Provider (Covered Entity),Educational or Professional Licensing Data,,Court Rulings/Decisions,2015,Federal court,,,,,,,
doc-4-3,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Expert Witness Reports,2021,Federal court,,,,,,,
doc-4-4,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Expert Witness Reports,2012,Federal court,,,,,,,
doc-6-19,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2005,Federal court,,,,,,,
doc-9-20,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Educational or Professional Licensing Data",,Court Rulings/Decisions,2023,Federal court,,,,,,,
doc-10-23,Healthcare Provider vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2016,State court,,,,,,,
doc-3-16,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Partial Testimony,2014,Federal court,,,,,,,
doc-2-17,Healthcare Provider vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Depositions,2018,State court,,,,,,,
doc-2-18,Healthcare Provider vs. Health Insurance Plan,"Personal Health Information (including biometrics, such as DNA), Financial Data",,Expert Witness Reports,2019,State court,,,,,,,
doc-4-5,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Expert Witness Reports,2011,State court,,,,,,,
doc-4-6,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Expert Witness Reports,2011,State court,,,,,,,
doc-4-7,Neither Party is a Covered Entity,Legal or Criminal Information,,Vitae,2013,Federal court,,,,,,,
doc-4-8,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Depositions,2019,Federal court,,,,,,,
doc-4-9,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2011,State court,,,,,,,
doc-4-10,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Vitae,2020,Federal court,,,,,,,
doc-2-19,Business Associate of Covered Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Expert Witness Reports,2022,State court,,,,,,,
doc-4-11,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics",,Depositions,2008,State court,,,,,,,
