DocumentID,PartiesInvolved,KindOfPersonalData,DocumentType,DateOfDocumentOrCase
doc-5-14,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2022
doc-1-3,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,Not known
doc-3-8,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA)",Depositions,2006
doc-2-41,Other,Not applicable,Vitae,2013
doc-5-64,Neither Party is a Covered Entity,Educational or Professional Licensing Data,Expert Witness Reports,2019
doc-5-83,Neither Party is a Covered Entity,"Financial Data, Credit Information",Expert Witness Reports,2016
doc-9-17,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Legal or Criminal Information",Court Rulings/Decisions,Other
doc-2-39,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2018
doc-2-83,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2010
doc-6-6,Neither Party is a Covered Entity,Not applicable,Expert Witness Reports,2008
doc-3-33,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2018
doc-5-58,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2020
doc-2-50,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2014
doc-3-19,Neither Party is a Covered Entity,Not applicable,Expert Witness Reports,2023
doc-4-13,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2021
doc-2-95,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA)",Depositions,Not known
doc-12-64,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Court Rulings/Decisions,Other
doc-5-2,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2023
doc-6-41,Individual vs. Health Insurance Plan (Covered Entity),Financial Data,Expert Witness Reports,2020
doc-5-79,Other,Not applicable,Vitae,2023
doc-10-29,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,2021
doc-6-50,Neither Party is a Covered Entity,Educational or Professional Licensing Data,Vitae,2010
doc-11-45,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,2013
doc-11-50,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Court Rulings/Decisions,2019
doc-5-72,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,Not known
doc-3-22,Government vs. Healthcare Entity (Covered Entity),"Educational or Professional Licensing Data, Other",Depositions,2023
doc-5-70,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Demographics",Depositions,2023
doc-6-37,Neither Party is a Covered Entity,Educational or Professional Licensing Data,Vitae,Not known
doc-6-45,Other,Educational or Professional Licensing Data,Vitae,2010
doc-3-2,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA)","Depositions, Expert Witness Reports",2023
doc-2-13,Neither Party is a Covered Entity,"Internet or Network Activity, Demographics",Expert Witness Reports,2009
doc-8-11,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2010
doc-2-91,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data","Depositions, Expert Witness Reports",2011
doc-6-8,Other,Educational or Professional Licensing Data,Expert Witness Reports,2018
doc-13-69,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Court Rulings/Decisions,2007
doc-6-78,Other,Not applicable,Vitae,2023
doc-11-55,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,2023
doc-6-11,Neither Party is a Covered Entity,"Financial Data, Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2021
doc-6-39,Neither Party is a Covered Entity,Not applicable,Expert Witness Reports,2018
doc-5-41,Neither Party is a Covered Entity,Not applicable,Expert Witness Reports,Not known
doc-5-40,Other,"Personal Health Information (including biometrics, DNA)",Vitae,2023
doc-6-35,Neither Party is a Covered Entity,Not applicable,Expert Witness Reports,2016
doc-3-39,Neither Party is a Covered Entity,Financial Data,Expert Witness Reports,2014
doc-3-26,Neither Party is a Covered Entity,Educational or Professional Licensing Data,Vitae,2023
doc-6-71,Individual vs. Health Insurance Plan (Covered Entity),Other,Expert Witness Reports,2023
doc-5-42,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2010
doc-9-10,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,Not known
doc-9-08,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA), Financial Data",Court Rulings/Decisions,2013
doc-2-59,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA), Financial Data",Depositions,2018
doc-10-28,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,Other
doc-9-01,Healthcare Provider vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Court Rulings/Decisions,Not known
doc-2-89,Neither Party is a Covered Entity,Legal or Criminal Information,Depositions,2015
doc-6-31,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Demographics, Educational or Professional Licensing Data",Vitae,2015
doc-2-62,Other,Educational or Professional Licensing Data,Expert Witness Reports,2019
doc-5-23,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2023
doc-13-76,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,Not known
doc-7-8,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA), Demographics, Financial Data",Expert Witness Reports,2022
doc-5-10,Neither Party is a Covered Entity,Not applicable,Expert Witness Reports,2006
doc-6-77,Neither Party is a Covered Entity,Educational or Professional Licensing Data,Vitae,Not known
doc-11-49,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,2022
doc-3-27,Government vs. Healthcare Entity (Covered Entity),Educational or Professional Licensing Data,Vitae,Not known
doc-5-49,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2021
doc-5-33,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Educational or Professional Licensing Data",Expert Witness Reports,2019
doc-5-57,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2011
doc-5-24,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2013
doc-8-10,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2023
doc-4-5,Neither Party is a Covered Entity,Not applicable,Expert Witness Reports,2011
doc-2-69,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2023
doc-2-80,Neither Party is a Covered Entity,Not applicable,Depositions,2013
doc-8-20,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA), Other",Expert Witness Reports,2023
doc-3-6,Government vs. Healthcare Entity (Covered Entity),Legal or Criminal Information,Expert Witness Reports,2014
doc-6-80,Individual vs. Healthcare Provider (Covered Entity),Educational or Professional Licensing Data,Vitae,2015
doc-6-22,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2023
doc-4-8,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA), Educational or Professional Licensing Data","Depositions, Expert Witness Reports",2019
doc-6-76,Other,Not applicable,Vitae,2023
doc-5-36,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2023
doc-5-75,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, DNA), Demographics, Financial Data",Expert Witness Reports,2016
doc-2-77,Neither Party is a Covered Entity,Legal or Criminal Information,Depositions,2017
doc-3-4,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2018
doc-6-68,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA), Educational or Professional Licensing Data",Depositions,2013
doc-10-38,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA), Financial Data",Court Rulings/Decisions,2020
doc-5-68,Other,"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2023
doc-2-35,Other,"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2023
doc-6-59,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2012
doc-3-24,Other,Legal or Criminal Information,Expert Witness Reports,2022
doc-8-12,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA), Demographics",Expert Witness Reports,2023
doc-6-61,Other,Educational or Professional Licensing Data,Vitae,2023
doc-6-33,Other,Not applicable,Vitae,2023
doc-2-29,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Educational or Professional Licensing Data",Expert Witness Reports,2022
doc-10-24,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Demographics",Court Rulings/Decisions,2023
doc-2-8,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2015
doc-11-47,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Court Rulings/Decisions,Other
doc-12-59,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,Not known
doc-3-43,Other,Not applicable,Expert Witness Reports,2022
doc-2-20,Neither Party is a Covered Entity,Not applicable,Depositions,Not known
doc-6-49,Neither Party is a Covered Entity,Not applicable,Expert Witness Reports,2022
doc-6-73,Individual vs. Health Insurance Plan (Covered Entity),Financial Data,Depositions,2011
doc-12-65,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,2010
doc-6-58,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Demographics, Legal or Criminal Information",Expert Witness Reports,2023
doc-13-73,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,2023
doc-4-10,Individual vs. Healthcare Provider (Covered Entity),Educational or Professional Licensing Data,Expert Witness Reports,2020
doc-3-7,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Legal or Criminal Information",Expert Witness Reports,2023
doc-5-61,Neither Party is a Covered Entity,Not applicable,Expert Witness Reports,2023
doc-5-71,Healthcare Provider vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2023
doc-3-30,Individual vs. Healthcare Provider (Covered Entity),Educational or Professional Licensing Data,Vitae,2009
doc-5-77,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2022
doc-9-13,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,Not known
doc-4-11,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2023
doc-4-1,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,Not known
doc-11-51,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,2020
doc-4-15,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2020
doc-9-07,Neither Party is a Covered Entity,Not applicable,Court Rulings/Decisions,2022
doc-11-56,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,Other
doc-2-15,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2014
doc-5-39,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2023
doc-6-79,Other,Educational or Professional Licensing Data,Vitae,2011
doc-6-24,Other,Educational or Professional Licensing Data,Vitae,2023
doc-5-38,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Demographics, Educational or Professional Licensing Data",Expert Witness Reports,2014
doc-7-4,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA), Demographics",Expert Witness Reports,2023
doc-3-25,Government vs. Healthcare Entity (Covered Entity),Financial Data,Expert Witness Reports,2009
doc-5-98,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2019
doc-4-3,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2021
doc-2-94,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA), Demographics, Financial Data, Legal or Criminal Information",Expert Witness Reports,2022
doc-2-22,Other,"Personal Health Information (including biometrics, DNA), Financial Data, Internet or Network Activity, Legal or Criminal Information",Expert Witness Reports,2015
doc-5-22,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2020
doc-13-78,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Court Rulings/Decisions,Not known
doc-6-17,Neither Party is a Covered Entity,Not applicable,Expert Witness Reports,Not known
doc-13-72,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Court Rulings/Decisions,Other
doc-9-11,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,2018
doc-6-48,Neither Party is a Covered Entity,Not applicable,Expert Witness Reports,2023
doc-11-58,Neither Party is a Covered Entity,"Financial Data, Other",Court Rulings/Decisions,2021
doc-6-21,Other,Educational or Professional Licensing Data,Expert Witness Reports,Not known
doc-5-100,Neither Party is a Covered Entity,Legal or Criminal Information,Expert Witness Reports,2015
doc-5-74,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2017
doc-2-72,Neither Party is a Covered Entity,"Geo-location or GPS Data, Internet or Network Activity, Other",Expert Witness Reports,Not known
doc-6-60,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA)",Depositions,2018
doc-2-64,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, DNA), Educational or Professional Licensing Data",Expert Witness Reports,2018
doc-2-48,Other,"Personal Health Information (including biometrics, DNA), Educational or Professional Licensing Data",Vitae,2023
doc-2-49,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2013
doc-9-03,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Demographics",Court Rulings/Decisions,Other
doc-2-24,Neither Party is a Covered Entity,Legal or Criminal Information,Depositions,2022
doc-3-15,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2023
doc-5-46,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2020
doc-3-31,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Educational or Professional Licensing Data",Expert Witness Reports,2010
doc-6-67,Individual vs. Healthcare Provider (Covered Entity),Educational or Professional Licensing Data,Expert Witness Reports,2008
doc-8-15,Business Associate of Covered Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2022
doc-6-64,Other,Educational or Professional Licensing Data,Vitae,2011
doc-3-21,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Educational or Professional Licensing Data, Legal or Criminal Information",Expert Witness Reports,2016
doc-5-93,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2016
doc-6-27,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Demographics, Educational or Professional Licensing Data",Expert Witness Reports,2006
doc-6-72,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2011
doc-2-47,Neither Party is a Covered Entity,Not applicable,Expert Witness Reports,2011
doc-5-44,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Educational or Professional Licensing Data",Expert Witness Reports,2021
doc-5-69,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Legal or Criminal Information",Expert Witness Reports,2021
doc-2-96,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA), Other",Expert Witness Reports,2018
doc-6-7,Other,Educational or Professional Licensing Data,Expert Witness Reports,2018
doc-4-12,Neither Party is a Covered Entity,Not applicable,Depositions,2022
doc-6-43,Neither Party is a Covered Entity,Not applicable,Expert Witness Reports,2021
doc-5-92,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2022
doc-3-13,Individual vs. Healthcare Provider (Covered Entity),"Educational or Professional Licensing Data, Other","Depositions, Expert Witness Reports",2016
doc-2-2,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2021
doc-10-37,Neither Party is a Covered Entity,Legal or Criminal Information,Court Rulings/Decisions,2011
doc-5-76,Other,Not applicable,Expert Witness Reports,Not known
doc-5-88,Other,Educational or Professional Licensing Data,Vitae,Not known
doc-5-89,Other,"Personal Health Information (including biometrics, DNA), Demographics",Expert Witness Reports,2020
doc-11-41,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Educational or Professional Licensing Data",Court Rulings/Decisions,Other
doc-10-27,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,2004
doc-2-63,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2023
doc-6-2,Neither Party is a Covered Entity,Educational or Professional Licensing Data,Vitae,2023
doc-6-20,Other,Educational or Professional Licensing Data,Expert Witness Reports,2013
doc-5-80,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2020
doc-2-93,Individual vs. Health Insurance Plan (Covered Entity),"Internet or Network Activity, Legal or Criminal Information",Expert Witness Reports,2023
doc-3-37,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA)",Depositions,2020
doc-5-35,Healthcare Provider vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2021
doc-5-43,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2018
doc-6-15,Neither Party is a Covered Entity,"Internet or Network Activity, Other",Expert Witness Reports,2022
doc-2-76,Neither Party is a Covered Entity,"Financial Data, Legal or Criminal Information",Expert Witness Reports,2017
doc-3-38,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Legal or Criminal Information","Depositions, Expert Witness Reports",2010
doc-5-7,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Legal or Criminal Information",Expert Witness Reports,2023
doc-6-53,Other,Educational or Professional Licensing Data,Vitae,2010
doc-6-75,Government vs. Healthcare Entity (Covered Entity),Educational or Professional Licensing Data,Expert Witness Reports,2019
doc-2-21,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2010
doc-10-26,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,Not known
doc-9-12,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Legal or Criminal Information",Court Rulings/Decisions,2020
doc-6-18,Other,Educational or Professional Licensing Data,"Expert Witness Reports, Vitae",2012
doc-7-2,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Demographics",Expert Witness Reports,Not known
doc-4-14,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2010
doc-6-55,Individual vs. Healthcare Provider (Covered Entity),Educational or Professional Licensing Data,Vitae,2012
doc-2-55,Neither Party is a Covered Entity,Not applicable,Expert Witness Reports,Not known
doc-3-32,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA)",Depositions,2020
doc-2-51,Neither Party is a Covered Entity,Not applicable,Vitae,2017
doc-3-14,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Depositions,2016
doc-5-29,Neither Party is a Covered Entity,"Demographics, Financial Data, Other",Expert Witness Reports,2017
doc-5-86,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2023
doc-5-32,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA)",Expert Witness Reports,2017
doc-5-97,Other,Educational or Professional Licensing Data,Expert Witness Reports,2008
doc-12-61,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,Not known
doc-9-05,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Court Rulings/Decisions,2021
doc-9-04,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, DNA)",Court Rulings/Decisions,Other
doc-2-57,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, DNA), Educational or Professional Licensing Data",Depositions,2019
doc-2-27,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, DNA), Financial Data",Expert Witness Reports,2019
