document id,type of court response,type of court reasoning,parties involved response,parties involved reasoning,kind of personal data involved in the case response,kind of personal data involved in the case reasoning,date of document or case response,date of document or case reasoning,document type response,document type reasoning,something interesting response,something interesting reasoning,"does this document contain expert opinions, credentials, or testimony response","does this document contain expert opinions, credentials, or testimony reasoning",evaluator
doc-2-24,federal court,"the document header specifies 'united states district court, e.d. wisconsin' indicating this is a case in the eastern district of wisconsin federal court.",other,"the case involves 'akil carter, et al., plaintiffs, v. city of wauwatosa, et al., defendants.' this appears to be a civil rights case against a city government and police officers, not involving hipaa covered entities. though hipaa forms are mentioned, they appear to be incidental to the main case which concerns police conduct.","personal health information, legal or criminal information","the document mentions 'akil carter hipaa authorization forms' and 'medical authorization' suggesting some medical records are relevant to the litigation. the case primarily concerns legal/criminal information related to a police stop/detention, as evidenced by discussion throughout the deposition about police procedures and actions.",2022,"the document is dated august 5, 2022, and the deposition was conducted on july 22, 2022, as stated in the document header and introduction.","depositions, expert witness reports","this is clearly a deposition transcript of brian l. landers (titled 'deposition of brian l. landers'). it also references and discusses his expert report dated september 14, 2021, which is being examined during the deposition.",,"there is no evidence of problematic strategic use of hipaa in this document. hipaa is mentioned only briefly in reference to authorization forms, which is standard practice when medical records might be relevant to litigation. the case appears to focus on police practices rather than healthcare issues.",yes,"the document is entirely a deposition of brian l. landers, who is being questioned as an expert witness on police practices. it includes extensive discussion of his credentials, curriculum vitae, expertise in law enforcement practices, and his opinions regarding the actions of the police officers involved in the case.",claude
doc-2-25,state court,the document explicitly states 'court of common pleas of ohio. summit county' which indicates this is being handled in an ohio state court.,individual vs. healthcare provider,"the case involves jeradine thompson (individual plaintiff) versus summit pain specialists, inc. (healthcare provider) and other defendants including dr. robert geiger and dr. james bressi who are physicians at the pain clinic.","personal health information, legal or criminal information",the case involves allegations of sexual misconduct by dr. bressi against patients in a healthcare setting. the document refers to patient care information and allegations of sexual misconduct that would constitute both personal health information and legal/criminal information.,2015,"the affidavit is dated june 30, 2015, as indicated at the beginning and end of the document.",expert witness reports,"this is an affidavit from dr. julie aultman, phd who is serving as an expert witness in bioethics for the plaintiff, providing her professional opinion on the ethical violations committed by dr. geiger.",,"there is no indication of hipaa being used problematically in this case. rather, hipaa is only mentioned in relation to dr. aultman's qualifications, stating she is familiar with hipaa regulations. the case focuses on failure to report sexual misconduct, not misuse of hipaa.",yes,"the entire document is an expert affidavit from dr. julie aultman, a bioethicist and professor, who provides her credentials and professional opinions regarding dr. geiger's ethical violations in failing to properly handle and report sexual misconduct allegations against dr. bressi.",claude
doc-2-26,federal court,"the document header indicates 'united states district court, m.d. florida, tampa division' which clearly identifies this as a federal court case in the middle district of florida.",healthcare provider vs. healthcare provider,"the case is titled 'st. luke's cataract and laser institute, p.a., plaintiff, v. james c. sanderson, james c. sanderson, m.d., llc,: and mark erickson, defendants.' st. luke's appears to be a medical institute/healthcare provider, and dr. sanderson appears to be another healthcare provider with his own practice.",not applicable,"the deposition primarily discusses marketing practices, websites, and practice management for ophthalmology/cosmetic surgery practices. there's no specific personal data being contested. the dispute appears to be about a website called 'laserspecialist.com' rather than patient data. hipaa is only mentioned once when an attorney cautions the witness not to identify specific patients by name.",2007,"the document is dated february 2, 2007 as indicated in the header of the first page.","depositions, expert witness reports","this is a deposition transcript of james d. dawes, who is presented as an expert witness in accounting & economics/merchandise, advertising & marketing. the document shows question and answer format between attorneys and the witness, with court reporter certification. the deposition discusses his expert report that he provided in the case.",,"there is no evidence of problematic strategic use of hipaa in this document. hipaa is only mentioned once when an attorney cautions the witness not to identify specific patients by name when answering a question, which is a standard privacy protection measure.",yes,"this document is entirely a deposition of james d. dawes, who is presented as an expert witness in medical practice management. his credentials (education, certifications, work history) are extensively discussed, and he offers opinions about the importance of websites for cosmetic surgery practices. his expert report is referenced throughout the deposition.",claude
doc-2-27,federal court,"the document references '(d.minn.)' indicating district court of minnesota, which is a federal court. the case 'mayo clinic v. united states of america' also suggests federal jurisdiction.",government vs. healthcare entity,the case is identified as 'mayo clinic v. united states of america' where mayo clinic is a healthcare provider (covered entity) suing the federal government.,not applicable,"this document is an expert resume/cv rather than case materials detailing the underlying dispute. while the expert has hipaa experience, the document doesn't specify what personal data is at issue in the mayo clinic case.",2019,"the document citation shows '2019 wl 5105041 (2019)' and it was filed in court on may 03, 2019.","expert witness reports, vitae","this is clearly labeled as an 'expert report of melvin (chip) r. hurley jr.' and contains his professional qualifications, experience, and credentials in a resume/cv format.",,"the document doesn't reveal any problematic strategic use of hipaa. it's simply an expert's credentials, including some hipaa-related experience, but doesn't discuss how hipaa is being applied in the case.",yes,"the entire document is an expert witness report containing melvin r. hurley jr.'s credentials, qualifications, and professional experience, including past expert testimony. it details his background as a cpa with extensive healthcare finance experience.",claude
doc-2-28,federal court,"the document header specifies 'united states district court, s.d. indiana' indicating this is a federal district court case.",other,"the case involves whole woman's health alliance (a healthcare provider/abortion provider) as plaintiff against curtis t. hill, jr. (likely indiana attorney general) as defendant. this represents a healthcare provider challenging government officials/regulations.",medical information not covered by hipaa,"the deposition discusses abortion procedures, medical standards, and fetal development in general terms. there is one mention of hipaa regarding transfer of patient information, but no specific patient data is discussed. the testimony covers general medical information rather than personal health information.",2019,"the document is dated october 16, 2019 as indicated at the top of the transcript.","depositions, expert witness reports","this is clearly a deposition transcript of dr. daniel grossman's testimony as indicated in the header ('partial testimony of daniel grossman, m.d.'). it contains expert witness testimony as dr. grossman was brought in as a medical expert.",,there is no evidence of problematic use of hipaa in this document. hipaa is only mentioned once in passing when dr. grossman notes that transfer of patient information between facilities must comply with hipaa requirements.,yes,"this document is a deposition of dr. daniel grossman who is explicitly identified as an expert in obstetrics/gynecology and physicians/general practitioners. he provides expert testimony on abortion procedures, medical standards, fetal development, and related topics.",claude
doc-2-29,federal court,"the document header states 'united states district court, d. connecticut' which clearly identifies this as a federal court case.",government vs. healthcare entity,"the case is between the equal employment opportunity commission (eeoc), which is a government agency, and yale new haven hospital, inc., which is a healthcare provider and covered entity under hipaa.","personal health information, educational or professional licensing data","the case involves neuropsychological testing results of late career practitioners (healthcare workers over 70) at yale new haven hospital. the document discusses test results that identified cognitive deficits in some practitioners and professional competency evaluations, which falls under both personal health information and professional data.",2022,"the document is dated august 29, 2022, as indicated in the header of the first page.",expert witness reports,"this is clearly identified as the 'expert report of ilene n. moore, md, jd' in the document title. it contains her professional opinions regarding yale new haven hospital's late career practitioner policy.",,this case doesn't involve a problematic strategic use of hipaa. it's an age discrimination case where the eeoc is challenging yale new haven hospital's policy of mandatory neuropsychological testing for practitioners over 70. the expert is analyzing whether this age-based screening is justified by patient safety concerns.,yes,"this entire document is an expert report by dr. ilene n. moore, who provides her credentials (physician and lawyer with expertise in patient safety and medical professional practices) and offers detailed professional opinions on whether age-based screening programs for medical practitioners are justified by scientific literature.",claude
doc-2-30,,,,,,,,,,,,,,,claude
doc-2-31,federal court,"the document header indicates it was 'filed in wts paradigm, llc v. edgeaq, llc, (w.d.wis., april 04, 2016)' where w.d.wis. refers to the western district of wisconsin, which is a federal court.",neither party is a covered entity,"the listed case is between wts paradigm, llc and edgeaq, llc, which appear to be technology companies, not healthcare entities. nothing in the document suggests either party is a covered entity under hipaa.",not applicable,"this document is a curriculum vitae/resume of seth james nielson submitted as part of expert witness documentation. while he mentions having consulted on hipaa compliance in his experience, the document itself doesn't involve personal data related to the case.",2016,"the document header explicitly states it was filed on april 04, 2016 and is cited as '2016 wl 3165583 (2016)'.","vitae, expert witness reports","this is clearly a curriculum vitae/resume of dr. seth james nielson, filed as part of expert witness documentation for the court case. the document title itself is '(court filed expert resume)'.",,there is no evidence of problematic strategic use of hipaa in this document. hipaa is mentioned only briefly as one of several regulatory frameworks that dr. nielson has experience evaluating products against.,yes,"this document is explicitly the curriculum vitae of seth james nielson, ph.d., listing his credentials, education, work experience, publications, and prior expert witness work. it was filed as part of his role as an expert witness in the case.",claude
doc-2-32,federal court,"the document header explicitly states 'united states district court, d. new jersey' which identifies this as a federal district court case.",other,"the case involves 'hae y. park, by her guardian ad litem, in chul son, plaintiff, v. united states of america, defendant.' this is an individual plaintiff suing the federal government, which doesn't fit the standard hipaa covered entity categories.","personal health information, demographics","the document centers on diffusion tensor imaging (dti) data from brain mri scans of the plaintiff and control subjects. the expert discusses brain imaging data, fractional anisotropy (fa) values, and other neuroimaging metrics. there's also discussion about control subjects' demographic information (age, sex, education level, medical history) that would be needed for proper analysis.",2022,"the document is dated march 9, 2022, as shown in the header of the affidavit.",expert witness reports,"this is an 'affidavit of jeffrey i. berman, ph.d.' where dr. berman provides his expert opinion about the need for certain data to evaluate the plaintiff's expert's dti analysis methodology.","the plaintiff appears to be using hipaa as a shield to prevent scrutiny of their expert's methodology by claiming control group mri data cannot be de-identified and shared, while the defense expert argues this data is critical to validating the scientific methodology and can be properly de-identified without violating privacy.","throughout the document, dr. berman argues that the plaintiff is incorrectly claiming hipaa prevents sharing de-identified control group data that is essential to evaluate the scientific validity of the plaintiff expert's conclusions. this potentially prevents proper scientific validation of evidence being used against the defendant.",yes,"this entire document is an expert affidavit from dr. jeffrey i. berman, who details his credentials as a research associate professor of radiology with expertise in dti and mri techniques, and provides his expert opinion on the methodological issues in the plaintiff expert's analysis.",claude
doc-2-33,federal court,"the document header clearly indicates this is a case in the 'united states district court, e.d. texas' (eastern district of texas), which is a federal court.",other,"the case involves women's elevated sober living, llc (a sober living facility provider) versus the city of plano, texas (a municipal entity). this doesn't fit into the standard hipaa covered entity categories, as it appears to be a dispute about housing regulations rather than privacy violations.",medical information not covered by hipaa,"the case discusses substance use disorder treatment approaches and recovery home services generally, but doesn't involve specific patient records or phi disclosures. the document contains aggregate information about substance abuse treatment methodologies rather than individual patient data.",2020,"the document is dated may 18, 2020, as shown in the header information.",expert witness reports,"this is clearly an expert witness report as indicated by the title 'expert report dr. kevin gilliland, psy. d.' the document presents dr. gilliland's professional credentials, experience, and expert opinion on substance use disorder treatment to support the defendant's position.",,"there is no evidence of problematic use of hipaa in this document. hipaa is only mentioned once in passing when dr. gilliland references respecting patient confidentiality in his forensic evaluations. the case appears to be about zoning/housing regulations for sober living facilities, not privacy issues.",yes,"this document is entirely an expert report by dr. kevin gilliland, who provides extensive credentials (over 30 years of experience in substance use disorder treatment and research), professional background, and expert opinions on substance use disorder treatment efficacy, specifically addressing whether sober living homes with more than 10 residents are therapeutically necessary.",claude
doc-2-34,federal court,"the document was filed in the western district of wisconsin (w.d.wis.), which is a federal district court.",neither party is a covered entity,"the case is identified as 'authenticom, inc. v. cdk global, llc et al,' which appears to involve technology companies rather than healthcare providers, insurers, or other hipaa-covered entities.",not applicable,"this document is peter swire's curriculum vitae/expert resume and doesn't describe the specific personal data at issue in the underlying case. while swire has expertise in privacy including hipaa medical privacy (he was the white house coordinator for hipaa medical privacy regulation), the cv itself doesn't detail what type of data is involved in this specific litigation.",2017,"the document is dated 2017, as indicated in the title '2017 wl 8424121 (2017)' and notes it was filed in the case on may 18, 2017.",vitae,"this is clearly a curriculum vitae/resume for peter p. swire, j.d., submitted as a court filed expert resume as indicated in the document heading.",,"there is no indication in this cv of problematic strategic use of hipaa. while swire has expertise in hipaa (serving as white house coordinator for hipaa medical privacy regulation and publishing on hipaa topics), this document merely presents his credentials rather than any strategic application of hipaa regulations.",yes,"this document is explicitly a curriculum vitae of peter p. swire filed as an expert resume with the court. it details his extensive credentials in privacy law (including hipaa), cybersecurity, and data protection, including his education, work experience, publications, testimony before congress, and other professional activities. it establishes his qualifications as an expert witness in the case.",claude
doc-2-35,federal court,"the document specifies it was filed in the 'united states district court, e.d. missouri, eastern division' which is a federal court (e.d. stands for eastern district).",other,"the case involves washington university (plaintiff/counterclaim defendant) and william j. catalona, m.d. (defendant/counterclaim plaintiff). this appears to be a dispute between a university and a physician researcher over control of biological samples, not a typical hipaa-covered entity dispute.",personal health information,"the case involves biological materials (blood, serum, genetic samples) collected from research participants. the affidavit discusses control and ownership of these biological specimens, withdrawal from research studies, and proper handling of these materials.",2004,"the document is dated august 18, 2004 as shown in the header information.",expert witness reports,"this document is an affidavit from kenneth w. goodman, ph.d., who is serving as an expert in bioethics. the document outlines his credentials and provides his expert opinions on matters related to research ethics and informed consent.","the expert argues that it is improper for a research institution to use irb protections (designed to protect human subjects) to prioritize institutional control over biological materials. he asserts that research participants must always maintain the right to withdraw from studies and control the use of their biological samples, regardless of institutional claims of ownership.",the affidavit suggests there may be tension between institutional attempts to control/own biological samples versus participants' rights to withdraw consent. the expert states it is 'ethically illicit in a dispute over custody and control of research samples to invoke rules designed for the protection of human subjects.',yes,"this document is entirely an expert affidavit from dr. kenneth w. goodman, who presents his extensive credentials in bioethics (including his position as associate professor, director of a bioethics program, author of books on bioethics, and contributor to irb training initiatives) and then provides his expert opinions on informed consent, control of biological samples, and the rights of research participants.",claude
doc-2-36,federal court,"the document header specifically states 'united states district court, s.d. west virginia' which identifies this as a federal district court case.",neither party is a covered entity,"the case involves lee ann sommerville (individually and representing a class) against union carbide corporation, a chemical company. neither party appears to be a healthcare provider, health plan, or healthcare clearinghouse covered under hipaa.","personal health information, medical information not covered by hipaa","the document discusses designing a medical monitoring program for citizens exposed to ethylene oxide, which would involve tracking cancer diagnoses and health data. the program would create a database with de-identified patient health information. this primarily concerns potential future medical monitoring rather than existing medical records.",2023,"the document is dated february 17, 2023 as shown in the header information.",expert witness reports,"this is clearly identified as an 'expert report of kevin knopf, m.d., m.p.h.' and contains his professional opinions, qualifications, and recommendations for a medical monitoring program.",,the document doesn't appear to use hipaa problematically. it references hipaa appropriately in the context of designing a medical monitoring program that protects patient privacy through 'hipaa-qualified third-party administrators' and de-identification procedures.,yes,"the document is explicitly an expert report from dr. kevin knopf that includes his credentials (education at mit, ucsf, and johns hopkins; positions as division chief of hematology and oncology; publications), and his professional opinions on designing a medical monitoring program for people exposed to ethylene oxide.",claude
doc-2-37,federal court,"the document explicitly states 'united states district court, m.d. florida, fort myers division' indicating this is a federal court case in the middle district of florida.",individual vs. health insurance plan,"the case is titled 'mary hynes, plaintiff, v. american general life insurance company, defendant.' this appears to be a dispute involving a life insurance policy where medical records are relevant. mary hynes appears to be a beneficiary of the deceased steven loren.","personal health information, medical information not covered by hipaa, legal or criminal information","the deposition discusses steven loren's medical records including cancer diagnosis, treatment history, alcohol and tobacco use, and cause of death ('combined toxicity of methadone and ethanol'). it also involves discussion of medical records requests and authorization forms, which contain legally relevant information.",2005,"the document is dated august 22, 2005, as indicated in the header information of the deposition transcript.",depositions,"this is clearly a deposition transcript of dr. alexander j. lozano, an otolaryngologist who treated steven loren. the document format, q&a structure, and presence of attorneys for both plaintiff and defendant confirm this.","there appears to be confusion regarding a medical records authorization supposedly signed by 'flavius j. loren, next of kin' dated march 27, 2003, nearly a year before steven loren's death on february 3, 2004. this raises questions about the authenticity or proper execution of medical record releases in this case.","the deposition contains discussion about a confusing authorization form that was supposedly signed before the patient's death but labeled as from 'next of kin,' suggesting potential issues with how medical records were obtained or released. the attorneys spend considerable time questioning this document.",yes,"this is a deposition of dr. alexander j. lozano, an otolaryngology/head and neck surgeon who provides expert testimony about his treatment of steven loren, including diagnosis of squamous cell carcinoma, treatment options, prognosis, and medical observations about the patient's condition and habits.",claude
doc-2-38,state court,"the document indicates this is from the 'court of common pleas of ohio, hamilton county' as stated in the header and appearances section. courts of common pleas are state-level trial courts in ohio.",individual vs. healthcare provider,"the case involves 'cathy beil, et al.' as plaintiffs against 'abubakar atiq durrani, m.d., et al.' which includes west chester hospital and uc health as defendants. this appears to be a negligent credentialing case brought by individuals against healthcare providers.","medical information not covered by hipaa, legal or criminal information","the deposition primarily discusses credentialing processes and professional conduct of dr. durrani. while medical practices are discussed, specific protected health information is not detailed. the case involves negligent credentialing claims and references to potential fraudulent medical treatment, which falls under legal information rather than specific patient phi.",2018,"the document is dated may 31, 2018, as specified in the header: 'may 31, 2018. deposition of john c. mcginty, jr.'","depositions, expert witness reports","this is a deposition transcript of john c. mcginty, jr., who is serving as an expert witness. the document follows q&a format typical of depositions and contains his expert opinions regarding hospital credentialing processes.",the document shows how peer review privilege and hipaa are being used to shield information about physician credentialing and performance from discovery in a negligent credentialing lawsuit.,"throughout the deposition, references are made to information being protected by peer-review privilege. for example, when asked about dr. durrani's credentials and performance reviews, mcginty states he hasn't seen any 'confidential peer review information.' when asked about his experience denying physician credentials in other cases, counsel objects stating 'you're talking about privileges information.' this demonstrates how hipaa and peer review protections may limit plaintiffs' access to information about physician histories relevant to negligent credentialing claims.",yes,"this document is explicitly a deposition of john c. mcginty, jr., who is identified as an expert witness in hospital administration. his areas of expertise are listed as 'accounting & economics >> corporate', 'accounting & economics >> business valuation', and 'medical & surgical >> hospital'. he provides expert opinions regarding hospital credentialing processes and standards throughout the deposition.",claude
doc-2-39,state court,"the document clearly identifies this as a court of common pleas of ohio, civil division, hamilton county case, which is a state-level court.",individual vs. healthcare provider,"the case involves cathy bell (and others) as plaintiffs against dr. abukabar atiq durrani, west chester hospital, and uc health as defendants. dr. durrani is a physician and the hospitals are healthcare providers, making this an individual vs. healthcare provider case.","personal health information, medical information not covered by hipaa","the case discusses medical procedures, specifically spine surgeries performed by dr. durrani. there are references to surgical indications, diagnostic testing, mri examinations, fusion surgeries, and patient care information. the testimony also references peer review materials which include evaluation of physician performance and patient outcomes.",2018,"the document is dated may 31, 2018, as clearly stated at the beginning of the deposition transcript.","depositions, expert witness reports","this is explicitly a deposition transcript of john c. mcginty, jr., who is serving as an expert witness. the document is titled 'deposition of john c. mcginty, jr.' and contains question-and-answer format testimony under oath.","throughout the deposition, 'peer review privilege' is repeatedly invoked to limit access to information about dr. durrani's performance and hospital credentialing decisions. while not directly hipaa, this related privilege is being used to shield potentially relevant information about physician competency from discovery.","the expert witness repeatedly mentions he has not seen confidential peer review information. at one point when asked about previous credentialing decisions, his attorney objects and instructs him not to answer due to privilege concerns. this demonstrates how healthcare-related privileges can limit information available in litigation concerning patient care.",yes,"this document is entirely a deposition of john c. mcginty, jr., who is identified as an expert in hospital administration, credentialing processes, and healthcare management. he is providing expert testimony about hospital credentialing processes and is described in the header as an expert in 'accounting & economics >> corporate', 'accounting & economics >> business valuation', and 'medical & surgical >> hospital' areas.",claude
doc-2-40,state court,"the document header clearly indicates this is from the 'superior court of north carolina, wake county' which is a state court.",healthcare provider vs. healthcare provider,"the case involves dr. eric rappaport (plaintiff) against raleigh ob/gyn centre and several doctors (alan b. segal, joseph d. campbell, and dawn s. trollip) as defendants. all parties are healthcare providers/covered entities under hipaa.","personal health information, medical information not covered by hipaa","the case primarily discusses dr. rappaport's parkinson's disease, its symptoms and progression, which constitutes personal health information. there are also general discussions about patient care and medical procedures, but without specific patient identifiers.",2015,"the deposition date is clearly marked as june 4, 2015, as indicated in the header and throughout the document.",depositions,this is a transcript of the deposition of dr. daniel clarke-pearson as indicated in the header 'deposition of daniel clarke-pearson' and the question-and-answer format throughout the document.,there appears to be a strategic use of hipaa to block communication between the defendants and dr. rappaport's treating neurologist. the defendants express frustration that dr. rappaport refused to sign a limited hipaa release that would allow them to discuss fitness for duty concerns with his doctor.,"on pages 115-117, there's discussion about dr. rappaport refusing to execute a hipaa release that would allow raleigh ob/gyn to communicate with dr. stacy (his neurologist) regarding his fitness for duty. this appears to be using hipaa privacy protections to prevent the defendants from obtaining potentially relevant information for their defense.",yes,"this document is entirely comprised of dr. daniel clarke-pearson's expert testimony as a witness for the plaintiff. he provides opinions on dr. rappaport's ability to perform essential functions of an office-based gynecologist despite having parkinson's disease, based on his professional evaluation and expertise as chair of the department of obstetrics and gynecology at unc medical school.",claude
doc-2-41,federal court,"the document header indicates it was filed in the western district of pennsylvania (w.d.pa.), which is a federal district court. the header specifically mentions 'filed in in re: maxim integrated products, inc., patent litigation, (w.d.pa., july 31, 2013)'.",neither party is a covered entity,"this appears to be a patent litigation case involving maxim integrated products, inc. the document is a cv/resume of an expert witness in computer security. there's no indication that any healthcare providers, health plans, or other hipaa-covered entities are involved in this litigation.",not applicable,"this document is stuart g. stubblebine's expert witness resume/cv for a patent litigation case. while it mentions 'privacy technology, anonymity techniques, and hipaa' among his areas of expertise, the document itself doesn't discuss any particular personal data being disputed in the case. it simply lists his qualifications, education, experience, and publications.",2013,"the document header clearly states '2013 wl 7752781 (2013)' and also notes it was 'filed in in re: maxim integrated products, inc., patent litigation, (w.d.pa., july 31, 2013)'.",vitae,"this document is clearly a curriculum vitae or resume of dr. stuart g. stubblebine. it details his education, employment history, expertise, patents, publications, and previous experience as an expert witness in litigation.",,"there is no evidence of problematic strategic use of hipaa in this document. while hipaa is mentioned as one of dr. stubblebine's areas of expertise ('privacy technology, anonymity techniques, and hipaa'), there's no indication that hipaa is being strategically used in any way in the underlying litigation.",yes,"this document is explicitly an expert witness curriculum vitae for dr. stuart g. stubblebine, detailing his credentials, education, employment history, patents, publications, and previous litigation experience. it contains his professional credentials but not his opinions or testimony for this specific case.",claude
doc-2-42,state court,"the document header indicates it was filed in 'tex.dist.' (texas district court), which is a state court.",neither party is a covered entity,"the case is titled 'allen soape, et al. v. dsw homes, llc, et al.' based on the name, dsw homes appears to be a construction or housing company, not a healthcare provider or other hipaa-covered entity. there's no indication in the document that any party is a covered entity under hipaa.",not applicable,"this document is an expert witness cv filed in court. it contains dr. gavin manes' professional credentials, education, publications, and experience in digital forensics and e-discovery. while he has expertise in areas like computer security and has published articles mentioning hipaa, the document itself doesn't describe any personal health data or other protected information involved in the underlying case.",2019,"the document header indicates it was filed on april 17, 2019, and the citation reference also shows '2019 wl 5191191 (2019)'.","vitae, expert witness reports",this is clearly a curriculum vitae (cv) of dr. gavin w. manes that has been filed with the court as part of expert witness documentation. the header specifically describes it as 'court filed expert resume' in the area of expertise of computer science.,,"there is no evidence of problematic use of hipaa in this document. while dr. manes has expertise in digital forensics and has written about hipaa (including an article titled '7 things all law firms need to know about hipaa'), this is simply an expert witness cv and doesn't show any strategic misuse of hipaa regulations.",yes,"this document is explicitly an expert witness cv/resume filed with the court. it contains dr. gavin manes' extensive credentials, publications, speaking engagements, and professional experience in digital forensics, e-discovery, and computer security. while it doesn't contain his actual opinions or testimony in the case, it does establish his credentials as an expert.",claude
doc-2-43,federal court,"the document indicates it was filed in the northern district of oklahoma ('n.d.okla.'), which is a federal district court.",other,"the document indicates the case is 'jason klintworth v. valley forge insurance company'. while this involves an insurance company, there is insufficient information to determine if valley forge insurance company is specifically a health insurance plan covered under hipaa.","educational or professional licensing data, legal or criminal information, not applicable","this document is dr. manes' cv/resume which contains his educational background, professional experience, and legal testimony history. it doesn't reveal what personal data is at issue in the underlying case between klintworth and valley forge insurance company.",2020,"the document header indicates it was filed on september 25, 2020, in the northern district of oklahoma.",vitae,"this is clearly a curriculum vitae (cv) or resume for dr. gavin w. manes, detailing his education, work experience, publications, presentations, and prior expert testimony experience.",,"there is no evidence in this document of problematic strategic use of hipaa. this is simply an expert's cv filed in a case. dr. manes appears to be a digital forensics expert rather than a healthcare privacy specialist, though he has written about hipaa considerations for law firms.",yes,"this document is the curriculum vitae of dr. gavin w. manes, detailing his credentials in digital forensics, electronic discovery, and computer science. it includes his education, certifications, publications, and previous expert testimony experience, clearly establishing him as an expert witness in the case.",claude
doc-2-44,federal court,"the document header clearly specifies 'united states district court, n.d. georgia' which indicates northern district of georgia, a federal district court.",neither party is a covered entity,"the case involves hugh bruce duling (and others) against domino's pizza, llc. this is a vehicular accident case involving commercial truck drivers. neither domino's pizza nor the plaintiffs are healthcare providers, health plans, or healthcare clearinghouses that would be considered hipaa covered entities.","personal health information, medical information not covered by hipaa","the case discusses mr. white's medical history including a fainting spell, dot medical examinations, hypertension, and medications. however, much of this information relates to employment-based medical examinations and fitness-for-duty assessments rather than protected health information from healthcare providers.",2014,"the document is dated april 18, 2014, as indicated in the header information. the accident it discusses occurred on december 19, 2012.",expert witness reports,this is clearly an expert report authored by cristina d. kelly providing professional opinions about transportation industry standards and domino's compliance with those standards.,"the document references hipaa-like principles as justification for domino's limited monitoring of driver health conditions, potentially using privacy regulations to shield the company from liability","the expert argues that domino's policies were similar to hipaa regulations in protecting health information, and uses this to justify why the company did not need to inquire more deeply into drivers' medical conditions. this appears to use health privacy principles as a shield against claims that domino's should have known about or monitored the driver's health issues more closely.",yes,"this document is explicitly an expert report from cristina d. kelly who provides opinions about transportation safety standards, compliance practices, and regulatory requirements. she evaluates whether domino's policies and procedures met industry standards.",claude
doc-2-45,federal court,"the document was filed in the eastern district of virginia (e.d.va.), which is a federal district court as indicated in the header.",neither party is a covered entity,"the case is between digital-vending services international, inc. and the university of phoenix, inc. et al. neither appears to be a healthcare provider, insurance plan, or other hipaa-covered entity based on the information provided.",not applicable,"this document is an expert witness resume/cv and does not discuss the personal data involved in the underlying case. while dr. stubblebine lists 'privacy technology, anonymity techniques, and hipaa' among his areas of expertise, the document doesn't specify what personal data is at issue in the case itself.",2010,"the document is titled 'stuart g. stubblebine, ph.d., 2010 wl 8940036 (2010)' and shows it was filed on january 06, 2010.",vitae,"this document is clearly a curriculum vitae/professional resume of dr. stuart g. stubblebine filed as part of court proceedings. it details his education, employment history, litigation support experience, patents, publications, and professional associations.",,there is nothing in this document that suggests a problematic strategic use of hipaa. it's simply an expert witness resume that mentions hipaa among the expert's areas of knowledge.,yes,"this document is explicitly an expert witness resume/cv for dr. stuart g. stubblebine, detailing his credentials, expertise in computer security, cryptography, and privacy technology (including hipaa), and his past litigation support experience. while it doesn't contain actual opinions or testimony, it clearly presents his qualifications as an expert.",claude
doc-2-46,federal court,"the document header specifically identifies this as a case in the 'united states district court, m.d. florida, orlando division' which is a federal court (middle district of florida).",other,"the case involves msp recover claims, series llc (a claims recovery entity that acquires rights to pursue medicare secondary payer claims) as plaintiff against aix specialty insurance company (an insurance company) as defendant. this appears to be a dispute about medicare secondary payer obligations rather than a typical hipaa covered entity case.","personal health information, demographics, financial data","the deposition discusses medicare claims data and references multiple types of protected health information including patient names, social security numbers, hicn numbers, patient addresses, icd-9/icd-10 diagnostic codes, cpt procedure codes, dates of service, and medical treatment information. the case involves reviewing medical bills and claims payment data.",2019,"the document header clearly states 'december 9, 2019' as the date of this video deposition of kevin o'brien.","depositions, expert witness reports","this is a transcript of the video deposition of kevin o'brien, who is identified as an expert witness for the defendant. the document includes discussion of his expert report and his testimony about his opinions.",this case highlights tensions between data validation requirements and practical implementation of medicare secondary payer obligations. the testimony discusses challenges in aggregating medical claims data from disparate sources and determining primary payer status for medicare claims.,"the expert discusses how validation of claims data is critical but challenging, with complex processes required to determine whether claims were correctly paid as primary or secondary. there's discussion about the burden of individual claim-by-claim review versus algorithmic approaches to identify payment obligations.",yes,"this document is the video deposition of kevin l. o'brien who is explicitly identified as an expert witness in 'accounting & economics >> finance' and 'accounting & economics >> accounting.' he discusses his expert report, his qualifications, and provides testimony about his opinions regarding medicare secondary payer claims processing, data validation, and relatedness reviews.",claude
